"id","address","sheet","label","type","format","formula","value","rules","version"
"7013","TLAA53",NULL,"Server Text","text",NULL,NULL,"HPE Apollo 4510 -700",NULL,"749"
"7014","TLAA54",NULL,"Server Text","text",NULL,NULL,"HPE Apollo r2200 -24",NULL,"749"
"7015","TLAA55",NULL,"Server Text","text",NULL,NULL,"HPE Apollo r2200 -36",NULL,"749"
"7016","TLAA56",NULL,"Server Text","text",NULL,NULL,"HPE ProLiant DL360 - Compute",NULL,"749"
"7017","TLAA57",NULL,"Server Text","text",NULL,NULL,"HPE ProLiant DL360 - Flash - 32",NULL,"749"
"7018","TLAA58",NULL,"Server Text","text",NULL,NULL,"HPE ProLiant DL360 - Flash - 64",NULL,"749"
"7019","TLAA59",NULL,"Server Text","text",NULL,NULL,"HPE ProLiant DL360 - Flash - 77",NULL,"749"
"7020","TLAA60",NULL,"Server Text","text",NULL,NULL,"HPE ProLiant DL360 -ROBO-16",NULL,"749"
"7021","TLAA61",NULL,"Server Text","text",NULL,NULL,"HPE ProLiant DL360 -ROBO-8",NULL,"749"
"7022","TLAA62",NULL,"Server Text","text",NULL,NULL,"HPE ProLiant DL380 - 48",NULL,"749"
"7023","TLAA63",NULL,"Server Text","text",NULL,NULL,"HPE ProLiant DL380 - 96",NULL,"749"
"7024","TLAA64",NULL,"Server Text","text",NULL,NULL,"Lenovo ThinkSystem SR650 - 48",NULL,"749"
"7025","TLAA65",NULL,"Server Text","text",NULL,NULL,"Lenovo ThinkSystem SR650 - 96",NULL,"749"
"7084","TLAB8",NULL,"Server Cost","float",NULL,NULL,"9000",NULL,"749"
"7085","TLAB9",NULL,"Server Cost","float",NULL,NULL,"17100",NULL,"749"
"7086","TLAB10",NULL,"Server Cost","float",NULL,NULL,"18000",NULL,"749"
"7087","TLAB11",NULL,"Server Cost","float",NULL,NULL,"25000",NULL,"749"
"7088","TLAB12",NULL,"Server Cost","float",NULL,NULL,"9000",NULL,"749"
"7089","TLAB13",NULL,"Server Cost","float",NULL,NULL,"9000",NULL,"749"
"7090","TLAB14",NULL,"Server Cost","float",NULL,NULL,"41825",NULL,"749"
"7091","TLAB15",NULL,"Server Cost","float",NULL,NULL,"7000",NULL,"749"
"7092","TLAB16",NULL,"Server Cost","float",NULL,NULL,"8000",NULL,"749"
"7093","TLAB17",NULL,"Server Cost","float",NULL,NULL,"9000",NULL,"749"
"7094","TLAB18",NULL,"Server Cost","float",NULL,NULL,"11000",NULL,"749"
"7095","TLAB19",NULL,"Server Cost","float",NULL,NULL,"4500",NULL,"749"
"7096","TLAB20",NULL,"Server Cost","float",NULL,NULL,"9000",NULL,"749"
"7097","TLAB21",NULL,"Server Cost","float",NULL,NULL,"6000",NULL,"749"
"7098","TLAB22",NULL,"Server Cost","float",NULL,NULL,"11000",NULL,"749"
"7099","TLAB23",NULL,"Server Cost","float",NULL,NULL,"12000",NULL,"749"
"7100","TLAB24",NULL,"Server Cost","float",NULL,NULL,"15000",NULL,"749"
"7101","TLAB25",NULL,"Server Cost","float",NULL,NULL,"8500",NULL,"749"
"7102","TLAB26",NULL,"Server Cost","float",NULL,NULL,"9200",NULL,"749"
"7103","TLAB27",NULL,"Server Cost","float",NULL,NULL,"12000",NULL,"749"
"7104","TLAB28",NULL,"Server Cost","float",NULL,NULL,"15000",NULL,"749"
"7105","TLAB29",NULL,"Server Cost","float",NULL,NULL,"15000",NULL,"749"
"7106","TLAB30",NULL,"Server Cost","float",NULL,NULL,"15000",NULL,"749"
"7107","TLAB31",NULL,"Server Cost","float",NULL,NULL,"15000",NULL,"749"
"7108","TLAB32",NULL,"Server Cost","float",NULL,NULL,"8500",NULL,"749"
"7109","TLAB33",NULL,"Server Cost","float",NULL,NULL,"9200",NULL,"749"
"7110","TLAB34",NULL,"Server Cost","float",NULL,NULL,"27000",NULL,"749"
"7111","TLAB35",NULL,"Server Cost","float",NULL,NULL,"39000",NULL,"749"
"7112","TLAB36",NULL,"Server Cost","float",NULL,NULL,"51000",NULL,"749"
"7113","TLAB37",NULL,"Server Cost","float",NULL,NULL,"33000",NULL,"749"
"7114","TLAB38",NULL,"Server Cost","float",NULL,NULL,"45000",NULL,"749"
"7115","TLAB39",NULL,"Server Cost","float",NULL,NULL,"57000",NULL,"749"
"7116","TLAB40",NULL,"Server Cost","float",NULL,NULL,"9000",NULL,"749"
"7117","TLAB41",NULL,"Server Cost","float",NULL,NULL,"12000",NULL,"749"
"7118","TLAB42",NULL,"Server Cost","float",NULL,NULL,"10000",NULL,"749"
"7119","TLAB43",NULL,"Server Cost","float",NULL,NULL,"32000",NULL,"749"
"7120","TLAB44",NULL,"Server Cost","float",NULL,NULL,"15000",NULL,"749"
"7121","TLAB45",NULL,"Server Cost","float",NULL,NULL,"12000",NULL,"749"
"7122","TLAB46",NULL,"Server Cost","float",NULL,NULL,"14000",NULL,"749"
"7123","TLAB47",NULL,"Server Cost","float",NULL,NULL,"19000",NULL,"749"
"7124","TLAB48",NULL,"Server Cost","float",NULL,NULL,"21000",NULL,"749"
"7125","TLAB49",NULL,"Server Cost","float",NULL,NULL,"28000",NULL,"749"
"7126","TLAB50",NULL,"Server Cost","float",NULL,NULL,"11000",NULL,"749"
"7127","TLAB51",NULL,"Server Cost","float",NULL,NULL,"11000",NULL,"749"
"7128","TLAB52",NULL,"Server Cost","float",NULL,NULL,"18000",NULL,"749"
"7129","TLAB53",NULL,"Server Cost","float",NULL,NULL,"25000",NULL,"749"
"7130","TLAB54",NULL,"Server Cost","float",NULL,NULL,"7400",NULL,"749"
"7131","TLAB55",NULL,"Server Cost","float",NULL,NULL,"9100",NULL,"749"
"7132","TLAB56",NULL,"Server Cost","float",NULL,NULL,"6100",NULL,"749"
"7133","TLAB57",NULL,"Server Cost","float",NULL,NULL,"12000",NULL,"749"
"7134","TLAB58",NULL,"Server Cost","float",NULL,NULL,"24000",NULL,"749"
"7135","TLAB59",NULL,"Server Cost","float",NULL,NULL,"32000",NULL,"749"
"7136","TLAB60",NULL,"Server Cost","float",NULL,NULL,"10200",NULL,"749"
"7137","TLAB61",NULL,"Server Cost","float",NULL,NULL,"8900",NULL,"749"
"7138","TLAB62",NULL,"Server Cost","float",NULL,NULL,"14900",NULL,"749"
"7139","TLAB63",NULL,"Server Cost","float",NULL,NULL,"26400",NULL,"749"
"7140","TLAB64",NULL,"Server Cost","float",NULL,NULL,"21000",NULL,"749"
"7141","TLAB65",NULL,"Server Cost","float",NULL,NULL,"28000",NULL,"749"
"7142","TLAC8",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7143","TLAC9",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7144","TLAC10",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7145","TLAC11",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7146","TLAC12",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7147","TLAC13",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7148","TLAC14",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7149","TLAC15",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7150","TLAC16",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7151","TLAC17",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7152","TLAC18",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7153","TLAC19",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7154","TLAC20",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7155","TLAC21",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7156","TLAC22",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7157","TLAC23",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7158","TLAC24",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7159","TLAC25",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7160","TLAC26",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7161","TLAC27",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7162","TLAC28",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7163","TLAC29",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
